
- cudatoolkit=8.0=3
ch', 0)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.60it/s]
('avg_training_loss', 0.08983405655685892)
('max_training_acc', 0.5868794326241137)
('avg_training_acc', 0.013120567375886528)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.53it/s]
('avg_loss', 0.027708678661535185)
('max_acc', 0.5791666666666666)
('avg_acc', 0.05833333333333334)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 1)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.59it/s]
('avg_training_loss', 0.012617815875428472)
('max_training_acc', 0.5847517730496454)
('avg_training_acc', 0.040780141843971655)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.80it/s]
('avg_loss', 0.025966254606222112)
('max_acc', 0.5791666666666666)
('avg_acc', 0.07916666666666666)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 2)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.52it/s]
('avg_training_loss', 0.011750502650566558)
('max_training_acc', 0.5851063829787234)
('avg_training_acc', 0.061702127659574446)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.54it/s]
('avg_loss', 0.02452275133691728)
('max_acc', 0.5791666666666666)
('avg_acc', 0.09583333333333334)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 3)
100%|███████████████████████████████████████████| 94/94 [00:41<00:00,  2.29it/s]
('avg_training_loss', 0.010830388374705898)
('max_training_acc', 0.5836879432624117)
('avg_training_acc', 0.07730496453900708)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.70it/s]
('avg_loss', 0.022967861810078222)
('max_acc', 0.5791666666666666)
('avg_acc', 0.11666666666666668)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 4)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.50it/s]
('avg_training_loss', 0.010444200592749614)
('max_training_acc', 0.5840425531914895)
('avg_training_acc', 0.08475177304964539)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.52it/s]
('avg_loss', 0.02230781006316344)
('max_acc', 0.5791666666666666)
('avg_acc', 0.12916666666666668)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 5)
100%|███████████████████████████████████████████| 94/94 [00:41<00:00,  2.29it/s]
('avg_training_loss', 0.010062258021826757)
('max_training_acc', 0.5851063829787235)
('avg_training_acc', 0.08687943262411348)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.74it/s]
('avg_loss', 0.022207089001312852)
('max_acc', 0.5791666666666666)
('avg_acc', 0.13333333333333336)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 6)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.49it/s]
('avg_training_loss', 0.009851184242622966)
('max_training_acc', 0.5851063829787235)
('avg_training_acc', 0.09397163120567373)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.70it/s]
('avg_loss', 0.02214938945447405)
('max_acc', 0.5791666666666666)
('avg_acc', 0.1291666666666667)
('epoch', 7)
100%|███████████████████████████████████████████| 94/94 [00:38<00:00,  2.42it/s]
('avg_training_loss', 0.009565022724502265)
('max_training_acc', 0.5836879432624117)
('avg_training_acc', 0.0953900709219858)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.62it/s]
('avg_loss', 0.022058497571075957)
('max_acc', 0.5791666666666666)
('avg_acc', 0.12916666666666668)
('epoch', 8)
100%|███████████████████████████████████████████| 94/94 [00:38<00:00,  2.45it/s]
('avg_training_loss', 0.009439478385599052)
('max_training_acc', 0.5854609929078015)
('avg_training_acc', 0.101418439716312)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.07it/s]
('avg_loss', 0.022502817291145522)
('max_acc', 0.5791666666666666)
('avg_acc', 0.13333333333333336)
('epoch', 9)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.55it/s]
('avg_training_loss', 0.009430928091379874)
('max_training_acc', 0.5843971631205674)
('avg_training_acc', 0.09787234042553188)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.35it/s]
('avg_loss', 0.02238385130961736)
('max_acc', 0.5791666666666666)
('avg_acc', 0.13749999999999998)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 10)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.58it/s]
('avg_training_loss', 0.009123048046603799)
('max_training_acc', 0.5854609929078016)
('avg_training_acc', 0.11595744680851053)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.66it/s]
('avg_loss', 0.02227246342226863)
('max_acc', 0.5791666666666666)
('avg_acc', 0.11666666666666668)
('epoch', 11)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.57it/s]
('avg_training_loss', 0.009057602691563202)
('max_training_acc', 0.5851063829787236)
('avg_training_acc', 0.11453900709219848)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.66it/s]
('avg_loss', 0.02199625805951655)
('max_acc', 0.5791666666666666)
('avg_acc', 0.14166666666666666)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 12)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.52it/s]
('avg_training_loss', 0.008845197908738826)
('max_training_acc', 0.5854609929078016)
('avg_training_acc', 0.128723404255319)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.30it/s]
('avg_loss', 0.02177961729466915)
('max_acc', 0.5791666666666666)
('avg_acc', 0.14583333333333334)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 13)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.49it/s]
('avg_training_loss', 0.008784479971856196)
('max_training_acc', 0.5847517730496454)
('avg_training_acc', 0.12624113475177295)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.39it/s]
('avg_loss', 0.021731000626459718)
('max_acc', 0.5791666666666666)
('avg_acc', 0.14583333333333334)
('epoch', 14)
100%|███████████████████████████████████████████| 94/94 [00:34<00:00,  2.74it/s]
('avg_training_loss', 0.008557948070835876)
('max_training_acc', 0.5840425531914899)
('avg_training_acc', 0.12588652482269497)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.63it/s]
('avg_loss', 0.02218063563729326)
('max_acc', 0.5791666666666666)
('avg_acc', 0.14583333333333334)
('epoch', 15)
100%|███████████████████████████████████████████| 94/94 [00:37<00:00,  2.51it/s]
('avg_training_loss', 0.008444364469973965)
('max_training_acc', 0.5843971631205677)
('avg_training_acc', 0.12765957446808496)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.59it/s]
('avg_loss', 0.021656667192776997)
('max_acc', 0.5791666666666666)
('avg_acc', 0.1708333333333333)
('saving model to', 'repro/webqsp/best_model_doc')
('epoch', 16)
100%|███████████████████████████████████████████| 94/94 [00:38<00:00,  2.44it/s]
('avg_training_loss', 0.008299820833502615)
('max_training_acc', 0.5836879432624116)
('avg_training_acc', 0.13297872340425518)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.74it/s]
('avg_loss', 0.021421855858837564)
('max_acc', 0.5791666666666666)
('avg_acc', 0.13333333333333336)
('epoch', 17)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.60it/s]
('avg_training_loss', 0.008165304965161263)
('max_training_acc', 0.5858156028368797)
('avg_training_acc', 0.13758865248226934)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.58it/s]
('avg_loss', 0.02204381946163873)
('max_acc', 0.5791666666666666)
('avg_acc', 0.14583333333333334)
('epoch', 18)
100%|███████████████████████████████████████████| 94/94 [00:34<00:00,  2.70it/s]
('avg_training_loss', 0.008037551823864751)
('max_training_acc', 0.5840425531914896)
('avg_training_acc', 0.1471631205673757)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.02it/s]
('avg_loss', 0.0220311776890109)
('max_acc', 0.5791666666666666)
('avg_acc', 0.13749999999999998)
('epoch', 19)
100%|███████████████████████████████████████████| 94/94 [00:36<00:00,  2.57it/s]
('avg_training_loss', 0.007978325130100897)
('max_training_acc', 0.5858156028368795)
('avg_training_acc', 0.14929078014184383)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  9.63it/s]
('avg_loss', 0.02244404796510935)
('max_acc', 0.5791666666666666)
('avg_acc', 0.14583333333333334)
('epoch', 20)
100%|███████████████████████████████████████████| 94/94 [00:32<00:00,  2.90it/s]
('avg_training_loss', 0.007839355484007838)
('max_training_acc', 0.5843971631205674)
('avg_training_acc', 0.16063829787234024)
