
- cudatoolkit=8.0=3
ch', 0)
100%|█████████████████████████████████████████| 142/142 [00:50<00:00,  2.81it/s]
('avg_training_loss', 0.063706713656462)
('max_training_acc', 0.8190140845070423)
('avg_training_acc', 0.019014084507042252)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.95it/s]
('avg_loss', 0.02502775425091386)
('max_acc', 0.8166666666666665)
('avg_acc', 0.09583333333333333)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 1)
100%|█████████████████████████████████████████| 142/142 [00:50<00:00,  2.83it/s]
('avg_training_loss', 0.022929364684182153)
('max_training_acc', 0.8193661971830984)
('avg_training_acc', 0.0813380281690141)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.99it/s]
('avg_loss', 0.023643407505005598)
('max_acc', 0.8166666666666665)
('avg_acc', 0.12083333333333335)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 2)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.84it/s]
('avg_training_loss', 0.019243538241938387)
('max_training_acc', 0.8190140845070423)
('avg_training_acc', 0.1549295774647887)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.22it/s]
('avg_loss', 0.01855940107877056)
('max_acc', 0.8166666666666665)
('avg_acc', 0.1708333333333333)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 3)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.86it/s]
('avg_training_loss', 0.016651751070191532)
('max_training_acc', 0.8193661971830983)
('avg_training_acc', 0.1936619718309859)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.06it/s]
('avg_loss', 0.017089479758093756)
('max_acc', 0.8166666666666665)
('avg_acc', 0.18749999999999997)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 4)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.84it/s]
('avg_training_loss', 0.015571132859766064)
('max_training_acc', 0.818309859154929)
('avg_training_acc', 0.21126760563380276)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.95it/s]
('avg_loss', 0.01712874905206263)
('max_acc', 0.8166666666666665)
('avg_acc', 0.19166666666666668)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 5)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.85it/s]
('avg_training_loss', 0.014730132899811151)
('max_training_acc', 0.8186619718309859)
('avg_training_acc', 0.22922535211267608)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.16it/s]
('avg_loss', 0.016735468758270144)
('max_acc', 0.8166666666666665)
('avg_acc', 0.225)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 6)
100%|█████████████████████████████████████████| 142/142 [00:51<00:00,  2.73it/s]
('avg_training_loss', 0.013895690651007101)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.23485915492957743)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  6.21it/s]
('avg_loss', 0.017645590705797076)
('max_acc', 0.8166666666666665)
('avg_acc', 0.22083333333333333)
('epoch', 7)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.86it/s]
('avg_training_loss', 0.013166170203271257)
('max_training_acc', 0.8186619718309854)
('avg_training_acc', 0.25704225352112703)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.01it/s]
('avg_loss', 0.01656213030219078)
('max_acc', 0.8166666666666665)
('avg_acc', 0.25)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 8)
100%|█████████████████████████████████████████| 142/142 [00:49<00:00,  2.84it/s]
('avg_training_loss', 0.013050581308895014)
('max_training_acc', 0.8186619718309854)
('avg_training_acc', 0.2563380281690141)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:01<00:00,  7.00it/s]
('avg_loss', 0.019795644174640376)
('max_acc', 0.8166666666666665)
